"Band","Genre","Location","Years active"
"Carnal Ruin","Death Metal","Tampa, Florida","2018-Present"
"Carnality","Grindcore, Death Metal","Hinesville, Georgia","1997-1998 (as Gorlock), 1998-1999, 2003-2004"
"Carnalvore","Thrash/Heavy/Doom Metal","Brooklyn (New York City), New York","2021-Present"
"Carnapple","Metalcore","Edison, New Jersey","2001-2003, 2003-? (as Engaging the Enemy)"
"Carnavarice Breath","Groove Metal","Watchung, New Jersey","2011-2016"
"Carneficina","Melodic Death Metal","San Leandro, California","2013-Present"
"Carnevil","Heavy/Southern Metal","Orlando, Florida","2005-2012"
"Carnifex","Deathcore","San Diego, California","2005-2012, 2013-Present"
"Carnis Immortalis","Black/Death Metal","Detroit, Michigan","2011-Present"
"Carnis Vale","Black Metal/Punk","Lancaster, Ohio/Denver, Colorado","2016-2016"
"Carnival Dogs","Heavy Metal","Colorado Springs, Colorado","N/A"
"Carnivean","Death Metal","Salford, Pennsylvania","N/A"
"Carnivora","Melodic Groove/Death Metal","Danvers/Salem, Massachusetts","2010-Present"
"Carnivorate","Brutal Death Metal/Grindcore","Santa Maria/Oxnard, California","2013-2016 (as Bloody Pussy Guts), 2016-Present"
"Carnivore","Speed/Thrash Metal/Crossover","New York, New York","1984-1990, 1996-1996, 2006-2010, 2017-? (as Carnivore A.D.)"
"Carnivorous","Brutal Death Metal","San Francisco, California","2002-?"
"Carnivorous Cadaver","Brutal Technical Death Metal","New Jersey","N/A"
"Carnographer","Brutal Death Metal","Omaha, Nebraska","2017-Present"
"Carnotaurus","Death Metal","Seattle, Washington","2005-Present"
"Carol Ann","Sludge Metal/Crust","Phoenix, Arizona","1997-2004"
"Carolina Chupacabra","Sludge/Doom Metal","Columbia, South Carolina","N/A"
"Caroline Blue","Heavy Metal/Hard Rock","Syracuse, New York","N/A"
"Carousel","Heavy Metal/Hard Rock","Pittsburgh, Pennsylvania","2010-2016"
"Carpal Tunnel","Thrash/Groove Metal","Lansing, Michigan","N/A"
"Carpathia","Progressive/Power Metal","Arizona","N/A"
"Carpathian Funeral","Death Metal","Decatur, Illinois","2009-Present"
"Carpe Diem Envy","Stoner/Sludge Metal with Progressive Metal influences","New York, New York","2000-2004"
"Carpe Mortem","Death/Thrash Metal","Long Island, New York","2004-?"
"Carpe Noctem","Heavy/Power Metal","Milwaukee, Wisconsin","?-?, 1997-? (as Waiting for Dawn)"
"Carri-On","Heavy/Power Metal (early); Psychedelic Hard Rock (later)","Danville, Kentucky (89-90), Cleveland, Ohio (90-96), Los Angeles, California (later)","1989-1996, 1996-2004, 2015-Present"
"Carriage","Heavy Metal","Portsmouth, Virginia","2015-Present"
"Carrier Flux","Industrial Blackened Gothic Metal","Minneapolis, Minnesota","1997-Present"
"Carrion","Death Metal","Toledo, Ohio","1995-?, ?-Present (as Goresick), 2012-Present"
"Carrion Bloom","Black Metal/Punk","Oakland, California","N/A"
"Carrion Cathartid","Sludge Metal/Powerviolence","Everett, Washington","N/A"
"Carrion Crawler","Brutal Death Metal/Grindcore","Denver/Arvada, Colorado","1996-2006"
"Carrion Curse","Death/Thrash Metal","Tallahassee, Florida","2014-Present"
"Carrion Kind","Groove/Thrash Metal","Santa Fe, New Mexico","2011-Present"
"Carrion Lord","Doom/Death Metal","Jessup, Maryland","1989-?"
"Carrion Lord","Death Metal","Cincinnati, Ohio","1992-1993, 1993-2002 (as Thorns of the Carrion), 2005-2005 (as Thorns of the Carrion)"
"Carrion Moth","Sludge/Post-Metal","Binghamton, New York","N/A"
"Carrion Necrophagous","Death Metal","Plymouth, Connecticut","2003-?"
"Carrion Remains","Death Metal/Deathcore","Eugene, Oregon","2008-2010"
"Carrion Ritual","Black Metal","Kentucky","N/A"
"Carrion Sun","Death/Thrash/Progressive Metal","Houston, Texas","2009-2010 (as Under a Carrion Sun), 2010-Present (as Carrion Sun)"
"Carrion Throne","Brutal Death Metal","Chicago, Illinois","2011-2019 (as Epitasis)"
"Carrion Vael","Melodic Death Metal","Richmond, Indiana","2008-2018, 2018-Present"
"Carry the Storm","Death/Thrash Metal","Houston, Texas","2008-2019"
"Cartesian Other","Melodic Death Metal","Ventura, California","2007-Present"
"Cartilage","Death Metal/Grindcore","San Francisco, California","2014-Present"
"Carve Caustic","Thrash/Heavy Metal","Austin, Texas","N/A"
"Carve the Earth","Black/Thrash Metal","Portland, Oregon","2015-Present"
"Carved in Bone","Stoner/Sludge Metal","Spokane, Washington","2014-Present"
"Carved in Flesh","Death Metal","Lima, Ohio","1994-?"
"Carving Betty","Doom Metal","Winter Haven, Florida","N/A"
"Cascadian Lightfall","Ambient/Black Metal","Kent, Washington","N/A"
"Cascus","Progressive Death Metal","Yukon, Oklahoma","2008-2014"
"Casino Warrior","Heavy/Stoner Metal","Cincinnati, Ohio","2014-Present"
"Casket","Death/Thrash Metal","Santa Ana, California","2005-Present"
"Casket","Black/Death Metal","Los Angeles, California","2009-2010 (as Pale Moon), 2010-2017"
"Casket","Death Metal","Philadelphia, Pennsylvania","2011-Present"
"Casket Birth","Black Metal","Tucson, Arizona","2012-Present"
"Casket Blaster","Death Metal/Grindcore","San Jose, California","2000-? (as Dead Syndicate), ?-Present"
"Casket Crusher","Death/Thrash Metal","Norwalk, California","2010-?"
"Casket Dancer","Death Metal","Port Charlotte, Florida","?-Present (as Widows Wail), 2017-Present"
"Casket Huffer","Death Metal","Cheyenne, Wyoming","2015-Present"
"Casket Master","Doom/Death Metal","Chicago, Illinois","N/A"
"Casket Raider","Blackened Death/Thrash Metal","Las Vegas, Nevada","2013-Present"
"Casket Robbery","Brutal Death Metal","Madison, Wisconsin","2010-Present"
"Casket Sacrifice","Death Metal","New York, New York","2003-Present"
"Cason","Heavy Metal","Phoenix, Arizona","?-?, ?-1997 (as Night Stalker), 1997-? (as Exiled)"
"Casque","Black Metal","Indianapolis, Indiana","N/A"
"Cassandra Syndrome","Operatic/Gothic Metal","Frederick, Maryland","2005-2014"
"Cassiopeia","Progressive Death/Thrash Metal","Sacramento, California","2005-?"
"Cassius King","Heavy/Doom/Stoner Metal","New Jersey","N/A"
"Cassle","Heavy Metal/Progressive Rock","Los Angeles, California","N/A"
"Cast Asunder","Progressive Heavy Metal","Winter Haven, Florida","N/A"
"Cast from Eden","Melodic Death Metal/Metalcore","Louisville, Kentucky","N/A"
"Cast in Blood","Metalcore/Melodic Death Metal","Connecticut","N/A"
"Cast in Fire","Death Metal","Madison, Wisconsin","2005-Present"
"Cast in Stone","Hardcore (early); Metalcore (later)","Orange County, California","N/A"
"Cast into Finality","Death Metal","Boise, Idaho","2009-2011"
"Cast of Shadows","Progressive Heavy Metal","Glendale, Arizona","2000-?"
"Cast the Stone","Death Metal","St. Louis, Missouri","2002-Present"
"Cast upon the World","Deathcore","Baltimore, Maryland","2019-Present"
"Castahead","Melodic Death Metal/Metalcore","Racine, Wisconsin","1999-1999, ?-1999 (as Caste Ahead)"
"Castaway","Melodic Death Metal","Lakeland/Titusville, Florida","2005-?"
"Casteless","Death/Thrash Metal/Punk","Cincinnati, Ohio","2018-Present"
"Castevet","Progressive Black Metal/Post-Hardcore","New York, New York","2006-2014"
"Castigate","Brutal Death Metal","New York, New York","1994-?"
"Casting","Melodic Death/Thrash Metal","Wilmington, Delaware","N/A"
"Casting of Shadows","Experimental Black/Doom Metal","New York, New York","2005-?"
"Castle","Sludge/Doom Metal","Minneapolis, Minnesota","2005-Present"
"Castle","Heavy/Doom Metal","San Francisco, California / Toronto, Ontario, Canada","2009-Present"
"Castle","Heavy Metal","California","N/A"
"Castle Blood","Heavy Metal","Pittsburgh, Pennsylvania","1987-1992, 2012-Present"
"Castle Freak","Death Metal/Grindcore","Philadelphia, Pennsylvania","2012-Present"
"Castle Gate","Stoner Metal","San Diego, California","N/A"
"Castle of Purity","Raw Black Metal","Queens (New York City), New York","2007-?"
"Castle Ultra","Melodic Death Metal/Metalcore","Rancho Cucamonga, California","N/A"
"Castleaxe","Heavy/Speed Metal","Salt Lake City, Utah","2006-2011 (as Speitre), 2011-Present"
"Castles of Colossus","Symphonic Black/Death Metal","Aptos, California","N/A"
"Castrator","Death Metal","New York, New York","2013-Present"
"Castrofate","Thrash Metal (early); Death Metal (later)","Elmont (Long Island), New York (early); Tampa, Florida (later)","2007-Present"
"Casu Marzu","Black/Death Metal","Madison, Wisconsin","2008-2011"
"Casuist","Black Metal","College Station, Texas","N/A"
"Cat of Nine Tails","Symphonic Power/Folk/Death Metal","Santa Rosa, California","2005-Present"
"Cataclysm","Heavy Metal","Herrin, Illinois","N/A"
"Cataclysm","Death Metal","Louisville, Kentucky","1992-1994, 1994-? (as Assisting Sorrow)"
"Cataclysm","Doom Metal","Bandon, Oregon","2010-2013"
"Cataclysmic","Death/Thrash Metal","Durant, Oklahoma","2011-2012 (as Kreature), 2012-2013"
"Cataclysmic Avatar","Extreme Gothic Metal","Annapolis, Maryland","2004-2006"
"Catacomb","Thrash Metal","Concord, North Carolina","N/A"
"Catacomb Abyss","Thrash Metal","Naperville, Illinois","N/A"
"Catacomba","Black Metal","Lexington, Kentucky","2013-Present"
"Catacombs","Funeral Doom Metal","Arizona","2000-2016, ?-Present"
"Cataglyphis","Black Metal","Lake Chuck, Louisiana","2001-?"
"Çatal Höyük","Black Metal/Ambient/Experimental","Birmingham, Alabama","2005-Present"
"Catalano","Heavy Metal","Chicago, Illinois","2007-Present"
"Catalepsy","Thrash Metal","Hollywood, California","1986-1989"
"Catalepsy","Death Metal","Los Angeles, California","?-? (as Hateseed), 1989-?"
"Catalepsy","Deathcore","New Smyrna Beach, Florida","2004-2006, 2006-2012, 2014-Present"
"Catalysis","Thrash Metal","Tampa, Florida","N/A"
"Catalyst","Melodic Death Metal","West Hartford, Connecticut","1999-?"
"Catalyst","Thrash/Death Metal","Providence Forge, Virginia","1994-?"
"Catalyst","Death/Thrash Metal","Virginia Beach, Virginia","2014-2018"
"Catalytic","Melodic Death Metal","Indianapolis, Indiana","2013-2019"
"Catamount","Progressive Metal","Chicago, Illinois","N/A"
"Cataphract","Black Metal","Kansas","2017-Present"
"Catapult the Dead","Atmospheric Doom/Post-Metal","Oakland, California","2012-Present"
"Catastrophe","Death Metal with Speed/Thrash elements","McAllen, Texas","N/A"
"Catastrophic","Death Metal","Nashville, Tennessee / Long Island, New York","1999-?"
"Catastrophic","Death/Thrash Metal","Akron, Ohio","1991-?"
"Catastrophic","Thrash Metal","Bellingham, Washington","1988-1993, ?-? (as Catastrophic Disaster)"
"Catastrophic Massacre","Death/Thrash Metal","Omaha, Nebraska","N/A"
"Catastrophic Solutions","Death/Groove Metal","Muscatine, Iowa","N/A"
"Catatomic","Sludge/Doom Metal","Appleton, Wisconsin","2004-Present"
"Catatonic Atrocity","Death Metal","Lafayette, Indiana","2007-?"
"Catatonic Profanation","Brutal Death Metal","Bardstown, Kentucky","2017-Present"
"Catatonic Rigidity","Brutal Death Metal","Rochester, New York","2014-2015"
"Catatonic Society","Heavy Metal","San Lorenzo, California","2013-Present"
"Catch 22","Heavy/Thrash/Power Metal","Marietta, Ohio","1992-Present"
"Catchfire","Death Metal, Grindcore","Birmingham, Alabama","1999-Present"
"Catervatim","Death Metal","Laramie, Wyoming","2004-2006, 2017-Present"
"Cathar","Black Metal","Palmdale, California","N/A"
"Catharasis","Death Metal","Utah","N/A"
"Catharsis","Technical Power/Progressive Metal","San Diego, California","1992-?"
"Catharsis","Thrash Metal","Eufaula, Alabama","N/A"
"Catharsis","Thrash Metal","Fargo, North Dakota","1995-1997 (as Psychosia), 1997-1998"
"Catharsis","Metalcore","Chapel Hill, North Carolina","1994-2002, 2013-Present"
"Catharsism","Death Metal/Grindcore/Black/Sludge Metal","Huntington Beach, California","2012-2016"
"Catharsus","Death Metal/Metalcore","Visalia, California","N/A"
"Cathartes Aura","Melodic Doom/Death Metal","Corvallis, Oregon","N/A"
"Cathedrals Fall","Heavy/Thrash/Speed Metal","Severn, Maryland","N/A"
"Cathedrals in the Night","Atmospheric Black Metal",,"N/A"
"Catherine Wheel","Black Metal","Texas","N/A"
"Catheter","Death Metal/Grindcore","Denver, Colorado","1997-Present"
"Cathexis","Technical Death Metal","Austin, Texas","2011-Present"
"Catholicon","Black/Death Metal","Baton Rouge, Louisiana","1994-2009"
"Catorsion","Death Metal","Woodbridge, New Jersey","1999-2002, 2002-2012 (as Digested Flesh)"
"Cattle Decapitation","Progressive Death Metal/Grindcore","San Diego, California","1996-Present"
"Cattleist","Death Metal/Grindcore","Denver, Colorado","2007-Present"
"Caught","Black Metal/Punk","Maryland","N/A"
"Cauldron","Thrash Metal","Belle Rose, Louisiana","1993-Present"
"Cauldron","Thrash/Power Metal","Maryland/Delaware (early); Bradenton, Florida (later)","1988-?"
"Cauldron","Heavy/Thrash Metal","Grosse Pointe Park, Michigan","1993-?"
"Cauldron","Thrash Metal","Philadelphia, Pennsylvania","2010-2014"
"Cauldron Born","Power Metal","Atlanta, Georgia (early); Pikeville, Kentucky (later)","1994-2003, 2012-2015, 2021-Present"
"Cauldron Burial","Black/Death Metal","Evansville, Indiana","2012-Present"
"Cauldron of Puke","Experimental Death Metal/Grindcore","St. Louis, Missouri / Las Vegas, Nevada","2001-?"
"Causatum","Death/Black Metal","Philadelphia, Pennsylvania","2003-Present"
"Cause for Revelation","Death/Groove Metal","Milwaukee, Wisconsin","2003-Present"
"Cause of Aggression","Thrash Metal/Crossover","Los Angeles, California","N/A"
"Cause of My Affliction","Thrash Metal","Chicago, Illinois","N/A"
"Cause Unknown","Progressive Heavy Metal","Austin, Texas","N/A"
"Caustic","Thrash Metal","Portland, Oregon","2001-?"
"Caustic","Crossover/Thrash Metal","Oklahoma","2019-Present"
"Caustic Affliction","Thrash Metal","Severna Park, Maryland","1988-?"
"Caustic Butchery","Death Metal","Calumet City, Illinois","N/A"
"Caustic Cell","Groove Metal","Houston, Texas","N/A"
"Caustic Death","Death/Thrash Metal","Waco, Texas","1990-?"
"Caustic Descent","Death Metal","Tulsa, Oklahoma","1990-1996"
"Caustic Felon","Heavy/Thrash Metal","Escondido, California","2006-Present"
"Caustic Funeral","Death Metal","Denver, Colorado","N/A"
"Caustic Grave Wind","Raw Black Metal","Fort Wayne, Indiana","N/A"
"Caustic Method","Groove Metal","Syracuse, New York","?-Present (as Caustic), 2003-Present (as Caustic Method)"
"Caustic Reach","Atmospheric Black Metal","Minneapolis, Minnesota","N/A"
"Caustic Velocity","Thrash Metal","Half Moon Bay, California","1991-?, 2011-2011, 2017-2017"
"Caustic Wound","Death Metal/Grindcore","Seattle, Washington","N/A"
"Cauterized","Death Metal","Seattle, Washington","2014-?"
"Caution","Heavy Metal/Hard Rock","New Hampshire","N/A"
"Cavalera Conspiracy","Groove/Thrash/Death Metal","Phoenix, Arizona","2007-2007 (as Inflikted), 2007-Present"
"Cave","Death/Doom Metal","Mississippi","2018-Present"
"Cave Bastard","Sludge/Death Metal/Hardcore","San Diego, California","2014-Present"
"Cave Dweller","Black/Death/Sludge Metal","Phoenix, Arizona","2011-Present"
"Cave Dweller","Heavy Metal","Oakland, California","N/A"
"Cave Grave","Death Metal","Asheville, North Carolina","2019-Present"
"Cave of Swimmers","Doom Metal/Progressive/Hard Rock","Miami, Florida","2012-Present (as The Tunnel), 2013-Present (as Cave of Swimmers)"
"Caveat","Atmospheric Sludge Metal/Crust","Eau Claire, Wisconsin","2012-2018"
"CaveGhoul","Black Metal/Dungeon Synth","Fort Wayne, Indiana","N/A"
"Caveman","Death Metal","Cleveland, Ohio","1999-?, ?-?"
"Caveman Cult","Black/Death Metal","Miami, Florida","N/A"
"Caver","Black Metal",,"N/A"
"Cavern","Progressive Sludge/Thrash Metal","Oakland, Maryland","2012-Present"
"Cavern Womb","Death Metal","Philadelphia, Pennsylvania","2019-Present"
"Cavernlight","Sludge/Drone/Doom/Post-Metal","Oshkosh, Wisconsin","2006-Present"
"Cavernlord","Raw Black/Doom Metal","Rock Springs, Wyoming","2014-Present"
"Caverns","Raw Black Metal","Shasta, California (early), Ventura, California (later)","2006-Present"
"Cavity A.D.","Sludge/Doom Metal","Miami, Florida","1992-2002 (as Cavity), 2015-Present"
"Cavort Usurp","Black/Thrash Metal/Hardcore","Little Rock, Arkansas","N/A"
"Cavum","Black Metal","Reading, Pennsylvania","N/A"
"Cavurn","Doom/Death Metal","Bellingham, Washington","2017-Present"
"Cavusum","Black Metal","Portland, Oregon","N/A"
"Caynen","Raw Black Metal","San Diego, California","2013-?"
"Cazador","Sludge Metal","South Shore, Massachusetts","N/A"
"Cazic","Death/Black Metal","Denver, Colorado","N/A"
"Cea Serin","Progressive Metal","Baton Rouge, Louisiana","1997-Present"
"Cebo)))","Sludge Metal","Toccoa, Georgia","2013-Present"
"Celestial Corrosion","Doom/Death Metal","Dallas, Texas","2016-Present"
"Celestial Demise","Power Metal","Boston, Massachusetts","N/A"
"Celestial Dirge","Raw Post-Black Metal/Ambient",,"N/A"
"Celestial Key","Black Metal",,"N/A"
"Celestial Plague","Death Metal","Jasper, Alabama","2009-2011, 2016-2017, 2016-2018"
"Celestial Serpent","Technical/Brutal Death Metal","Wisconsin","2019-Present"
"Celestial Stag","Doom/Sludge Metal","Norfolk, Virginia","N/A"
"Celestial Sword","Raw Black Metal, Dungeon Synth",,"N/A"
"Celestial Tide","Power/Heavy Metal","Frederick, Maryland","2013-2015 (as Celestial Tide), 2015-? (as Nexon)"
"Celestial Waters","Black Metal","Rapid City, South Dakota","2013-2015"
"Celestial Werewolves","Black Metal","Connecticut","2020-Present"
"Celestial Wizard","Heavy/Power/Viking Metal","Denver, Colorado","2011-2018 (as Solarfall), 2018-Present"
"Celestiial","Funeral Doom Metal","Minnesota","2004-Present"
"Cell 13","Heavy/Doom Metal","Albuquerque, New Mexico","1993-2000 (as Dark Truth), 2000-2003"
"Cell Block Earth","Groove Metal","Detroit, Michigan","1998-2000 (as Nitronic 33), 2000-2016"
"Cellador","Power Metal","Omaha, Nebraska (early); Denver, Colorado (later)","2003-2003 (as Apostate), 2003-Present"
"Cellar Vessel","Progressive Death Metal","Bozeman, Montana","2012-Present"
"Cellbound","Thrash/Groove Metal","Cleveland, Ohio","2006-2013"
"Cellgraft","Grindcore","Tampa, Florida","2008-2012"
"Celtic Defiance","Heavy Metal","Keystone Heights, Florida","2021-Present"
"Celtica","Heavy Metal","New York, New York","N/A"
"Cemetarian","Death Metal","Houston, Texas","2019-Present"
"Cemetary","Heavy Metal","Center Line, Michigan","1984-1986"
"Cemetary Desekrator","Black Metal","Jackson, Michigan","N/A"
"Cemetary Visions","Doom/Death Metal","Knoxville, Tennessee","2002-Present"
"Cemeterrorist","Thrash/Black Metal","Salt Lake City, Utah","N/A"
"Cemetery","Doom Metal","Pinellas County, Florida","N/A"
"Cemetery Cove","Black Metal","Salt Lake City, Utah","2019-2019"
"Cemetery Dave","Stoner/Doom Metal","Boston, Massachusetts","N/A"
"Cemetery Earth","Death Metal","Philadelphia, Pennsylvania","1990-1994, 1994-1996 (as Mourn Thy Passing)"
"Cemetery Filth","Death Metal","Atlanta, Georgia","2014-Present"
"Cemetery Fukk","Death Metal","Arizona","2020-?"
"Cemetery Fungus","Death Metal","Hebron, Kentucky","N/A"
"Cemetery Lights","Black Metal","Rhode Island","2011-2012, 2018-Present"
"Cemetery Lust","Black/Thrash Metal","Portland, Oregon","2009-Present"
"Cemetery Piss","Black Metal","Baltimore, Maryland","N/A"
"Cemetery Rapist","Brutal Death Metal/Goregrind","Rockford, Illinois (early); Fayetteville/Springdale, Arkansas (later)","2004-2018, 2018-2019, 2021-2021"
"Cemetery Trip","Black Metal","Nottingham, New Hampshire","N/A"
"Cenarium","Black Metal","Duluth, Minnesota","2000-?"
"Cendiate","Death Metal","New York, New York","2016-Present"
"Cenobite","Death/Thrash Metal","Plymouth, Massachusetts","1991-?"
"Cenotaph","Thrash Metal","Tulsa, Oklahoma","1987-?"
"Centaurus","Progressive Metal","Chicago, Illinois","N/A"
"Centenary","Death Metal","Detroit, Michigan","2014-Present"
"Center of Disease","Brutal Death Metal","Tulsa, Oklahoma","2012-Present"
"Centimani","Death Metal","Boulder, Colorado","2006-2018"
"Central Disorder","Death/Thrash Metal","Crestwood, Illinois","2003-Present"
"Central Power","Melodic Heavy/Power Metal","Maryville, Tennessee","2013-Present"
"Centralia","Black Metal","Freehold, New Jeresy","2003-Present"
"Centrifuge","Doom Metal","Lakewood, Ohio","1995-1998, 2001-Present"
"Centroid","Melodic Death Metal","Baltimore, Maryland","2013-Present"
"Centura","Thrash Metal/Metalcore","Charleston, South Carolina","2010-Present"
"Centuries of Deception","Black Metal","Woodland Hills, California","1993-1996 (as Myocarditis), 1997-?"
"Centurion","Heavy Metal","Cleveland, Ohio","1984-1989"
"Centurion","Thrash Metal/RAC","Wisconsin","1990-?"
"Cephalic Carnage","Technical Grindcore/Death Metal","Edgewater, Colorado","1992-Present"
"Cephalic Mortification","Death Metal/Goregrind","Marathon, Florida Keys, Florida","2003-?"
"Cephalophile","Death Metal","Pueblo, Colorado","2004-?"
"Cephalothoracopagus","Death Metal/Grindcore","Philadelphia, Pennsylvania","2020-Present"
"Cephalotripsy","Slam/Brutal Death Metal","San Diego, California","2003-2012, 2017-Present"
"Cephas","Heavy Metal","West Warwick, Rhode Island","N/A"
"Cerabus","Heavy Metal/Hard Rock","Florida","N/A"
"Cerberus","Thrash/Melodic Death Metal","Los Angeles, California","2000-?"
"Cerberus","Heavy/Power Metal","Cleveland, Ohio","1982-1988"
"Cerberus","Death/Doom Metal","Riverside, New Jersey","1992-1993, 1993-? (as Symphony of Grief)"
"Cerberus","Death Metal","Lakeland, Florida","1992-?"
"Cerberus","Atmospheric Black Metal","Quincy, Massachusetts","2020-Present"
"Cerberuss","Blackened Thrash/Death Metal","Cleveland, Ohio","1985-1986, 1986-1988 (as Coven), 1988-1988 (as Blasphemy), 1989-1993 (as Blasphemy), 1993-? (as Bloodshed)"
"Cerebellion","Progressive Metal","Westminster, California","2000-2009 (as Project1), 2009-Present"
"Cerebral","Power Metal","Boston, Massachusetts","2006-?"
"Cerebral Bifurcation","Brutal Death Metal","Lancaster, Pennsylvania","2019-Present"
"Cerebral Contusion","Death Metal/Grindcore","Harwinton / Torrington, Connecticut","1990-1991, 1991-1994 (as Dissension)"
"Cerebral Deformity","Death Metal","Nampa, Idaho","N/A"
"Cerebral Desecration","Death/Thrash Metal","San Marcos, Texas","2010-Present"
"Cerebral Engorgement","Brutal Death Metal/Grindcore","San Francisco, California","?-2007 (as Extirpated Fetuses), 2007-Present"
"Cerebral Hemorrhage","Brutal Death Metal","New York","1997-?"
"Cerebral Hemorrhage","Thrash Metal/Crossover","Bloomfield, New Jersey","1986-1987"
"Cerebral Incubation","Slam/Brutal Death Metal","Las Vegas, Nevada","2008-Present"
"Cerebral Induced Asphyxiation","Brutal Death Metal","Odessa, Texas","2016-Present"
"Cerebral Mass","Raw Black Metal","Athens, Georgia","2020-Present"
"Cerebral Meltdown Council","Thrash Metal/Crossover","Orange County, California","N/A"
"Cerebral Noize","Thrash Metal/Crossover","Bellingham, Washington","1991-?"
"Cerebral Onslaught","Power/Progressive Metal","Alexandria, Virginia","N/A"
"Cerebral Prolapse","Grindcore/Death Metal/Metalcore","Providence, Rhode Island","N/A"
"Cerebral Rot","Death Metal","Seattle, Washington","2016-Present"
"Cerebrate","Death Metal","California","2011-?"
"Cerebus","Heavy/Power Metal","Greensboro, North Carolina","1984-?, 2017-Present"
"Cerebus","Technical Deathcore","Chesapeake, Virginia","N/A"
"Ceremented","Death/Doom Metal","Phoenix, Arizona","2016-Present"
"Ceremonial Castings","Symphonic Black/Death Metal","Battle Ground, Washington","1996-2014, 2020-Present"
"Ceremonial Decay","Death Metal","Los Angeles, California","N/A"
"Ceremonial Flesh","Black Metal","Beckley, West Virginia","2007-2010"
"Ceremonial Incantations","Black Metal","Phoenix, Arizona","2018-Present"
"Ceremonium","Death/Doom Metal","New York, New York","1992-2004"
"Ceremonius","Death Metal/Grindcore","Matteson, Illinois","1992-?"
"Ceremony","Death/Thrash Metal","Cincinnati, Ohio","?-? (as Internicine), 1990-1993"
"Ceremony","Black Metal","Brownsville, Texas","1991-1994"
"Ceremony of Darkness","Alternative/Heavy Metal/Rock","Illinois/Missouri","2009-Present"
"Ceres","Heavy/Power Metal",,"N/A"
"Cereviscera","Progressive Thrash/Death Metal","Chicago, Illinois","2014-Present"
"Cerna Krev","Black/Thrash Metal","Seattle, Washington","2017-Present"
"Cernunnos","Symphonic Black Metal","Atlanta, Georgia (early); Nashville, Tennessee (later)","1996-2013"
"Cerphas","Black/Doom Metal/Ambient","Tulsa, Oklahoma","2019-Present"
"Cerridwen","Symphonic Metal","Bellingham, Washington","2005-2011 (as Aconitum), 2011-2014 (as Cerridwen)"
"Certain Death","Thrash Metal","Newberg, Oregon","2008-?"
"Cerulean","Black/Death Metal","Tucson, Arizona","2017-Present"
"Cerulean Dawn","Black Metal","New England","2019-Present"
"Cervical Gag","Brutal Death Metal","Milwaukee, Wisconsin","2002-?"
"Cessation","Funeral Doom Metal","San Diego, California","2019-Present"
"Cessation of Life","Speed Metal","Ventura, California","1995-2012"
"Cesspool","Death Metal","Atlanta, Georgia","N/A"
"Cesspool of Corruption","Death Metal","Dallas, Texas","2012-Present"
"Cesspool of Genocide","Black/Death Metal","New Jersey","N/A"
"Cesspool of Vermin","Brutal Death Metal","Gastonia, North Carolina","2006-Present"
"Cetacean","Sludge/Doom Metal","Los Angeles, California","2015-Present"
"Cethkyn","Groove Metal","Milwaukee, Wisconsin (2003-2004); Orlando, Florida (2004-present)","2003-?"
"Cetragore","Death/Thrash Metal","Quincy, Massachusetts","2019-Present"
"Cetus","Black/Death Metal","Ventura, California","N/A"
"Chad R's Project Aggression","Speed/Thrash Metal","Tucker/Atlanta, Georgia","N/A"
"Chain","Progressive Metal","Los Angeles, California","1994-Present"
"Chain","Thrash/Groove Metal","Houston, Texas","N/A"
"Chain","Heavy Metal","New York, New York","2015-Present"
"Chain Driven","Southern Metal","McLeansboro, Illinois","1999-?"
"Chain Reaction","Heavy/Thrash Metal","Grand Rapids, Michigan","N/A"
"Chain Wolf","Thrash Metal/Crossover","Los Angeles, California","2020-2021 (as ChainxWolfx), 2021-Present"
"Chainbound","Heavy/Thrash Metal","Salem, Oregon","2006-Present"
"Chained in Sin","Death/Thrash Metal","San Antonio, Texas","N/A"
"Chained Lace","Heavy/Doom Metal","Washington, D.C.","1985-1986"
"Chained to Insanity","Heavy Metal/Hard Rock","North Providence, Rhode Island","2013-Present"
"Chained to Regret","Doom/Black/Death Metal","Massachusetts","N/A"
"Chained to the Bottom of the Ocean","Sludge/Doom Metal","Springfield, Massachusetts","2017-Present"
"Chained to the Dead","Death Metal","Passaic, New Jersey","2014-Present"
"Chainer","Heavy/Speed Metal","New York, New York","N/A"
"Chaînes Fantôme","Raw Black Metal",,"N/A"
"ChainGunn","Heavy/Speed Metal","North Carolina","2000-?"
"Chains of Belmont","Thrash Metal/Crossover","Yreka, California","2012-Present"
"Chains of Flesh","Brutal Death Metal/Grindcore","Meridian, Mississippi","N/A"
"Chains of Pain","Doom/Power/Black/Death Metal","Kirkland, Washington","N/A"
"Chains of Tyranny","Thrash Metal","Ottawa, Illinois","N/A"
"Chainsaw Alice","Heavy Metal","Poughkeepsie, New York","?-? (as Chainsaw), ?-1990 (as Chainsaw Boogie), 1990-1994"
"Chainsaw Carnage","Death Metal","San Diego, California","2007-2013"
"Chainsaw Decapitation","Death Metal","Concord, North Carolina (early); Boulder/Colorado Springs, Colorado (later)","2020-2020, 2020-Present"
"Chainsaw Disgorgement","Brutal Death Metal","Midland, Michigan (early); Charlotte, North Carolina (later)","2018-Present"
"Chainsaw Dismemberment","Brutal Death Metal/Grindcore",,"N/A"
